date,name,cumCase
2020-10-20,North East,47626
2020-10-20,North West,162230
2020-10-20,South East,59194
2020-10-20,South West,29255
2020-10-20,West Midlands,65597
2020-10-20,Yorkshire and The Humber,93204
2020-10-21,East Midlands,60636
2020-10-21,East of England,44222
2020-10-21,London,77839
2020-10-21,North East,49514
2020-10-21,North West,167698
2020-10-21,South East,60903
2020-10-21,South West,30235
2020-10-21,West Midlands,68024
2020-10-21,Yorkshire and The Humber,97333
2020-10-22,East Midlands,62486
2020-10-22,East of England,45196
2020-10-22,London,79485
2020-10-22,North East,50907
2020-10-22,North West,172229
2020-10-22,South East,62092
2020-10-22,South West,31224
2020-10-22,West Midlands,69718
2020-10-22,Yorkshire and The Humber,100194
2020-10-23,East Midlands,64279
2020-10-23,East of England,46042
2020-10-23,London,81203
2020-10-23,North East,52184
2020-10-23,North West,176185
2020-10-23,South East,63340
2020-10-23,South West,32345
2020-10-23,West Midlands,71898
2020-10-23,Yorkshire and The Humber,102939
2020-10-24,East Midlands,66413
2020-10-24,East of England,47002
2020-10-24,London,83424
2020-10-24,North East,53334
2020-10-24,North West,180788
2020-10-24,South East,64902
2020-10-24,South West,33512
2020-10-24,West Midlands,73950
2020-10-24,Yorkshire and The Humber,106200
2020-10-25,East Midlands,68169
2020-10-25,East of England,47950
2020-10-25,London,85215
2020-10-25,North East,54382
2020-10-25,North West,185081
2020-10-25,South East,66238
2020-10-25,South West,34851
2020-10-25,West Midlands,75389
2020-10-25,Yorkshire and The Humber,108580
2020-10-26,East Midlands,70097
2020-10-26,East of England,48746
2020-10-26,London,87022
2020-10-26,North East,55352
2020-10-26,North West,189805
2020-10-26,South East,67579
2020-10-26,South West,35843
2020-10-26,West Midlands,77559
2020-10-26,Yorkshire and The Humber,111580
2020-10-27,East Midlands,71932
2020-10-27,East of England,49543
2020-10-27,London,89021
2020-10-27,North East,56514
2020-10-27,North West,195127
2020-10-27,South East,69021
2020-10-27,South West,36955
2020-10-27,West Midlands,79787
2020-10-27,Yorkshire and The Humber,115145
2020-10-28,East Midlands,73838
2020-10-28,East of England,50642
2020-10-28,London,91498
2020-10-28,North East,57535
2020-10-28,North West,200118
2020-10-28,South East,70898
2020-10-28,South West,38283
2020-10-28,West Midlands,82363
2020-10-28,Yorkshire and The Humber,118910
2020-10-29,East Midlands,75898
2020-10-29,East of England,51686
2020-10-29,London,93431
2020-10-29,North East,58671
2020-10-29,North West,205150
2020-10-29,South East,72322
2020-10-29,South West,39454
2020-10-29,West Midlands,84720
2020-10-29,Yorkshire and The Humber,122297
2020-10-30,East Midlands,77913
2020-10-30,East of England,52851
2020-10-30,London,95862
2020-10-30,North East,59725
2020-10-30,North West,210230
2020-10-30,South East,74216
2020-10-30,South West,40682
2020-10-30,West Midlands,87086
2020-10-30,Yorkshire and The Humber,125722
2020-10-31,East Midlands,80144
2020-10-31,East of England,53715
2020-10-31,London,97430
2020-10-31,North East,60888
2020-10-31,North West,214817
2020-10-31,South East,75612
2020-10-31,South West,42089
2020-10-31,West Midlands,88879
2020-10-31,Yorkshire and The Humber,129360
2020-11-01,East Midlands,82454
2020-11-01,East of England,54651
2020-11-01,London,99486
2020-11-01,North East,62058
2020-11-01,North West,218862
2020-11-01,South East,77226
2020-11-01,South West,43337
2020-11-01,West Midlands,92134
2020-11-01,Yorkshire and The Humber,133160
2020-11-02,East Midlands,83996
2020-11-02,East of England,55518
2020-11-02,London,101225
2020-11-02,North East,63097
2020-11-02,North West,222108
2020-11-02,South East,78851
2020-11-02,South West,44421
2020-11-02,West Midlands,93860
