date,name,Deaths
2020-10-17,North East,2886
2020-10-17,North West,8251
2020-10-17,South East,6325
2020-10-17,South West,2367
2020-10-17,West Midlands,5813
2020-10-17,Yorkshire and The Humber,4660
2020-10-18,East Midlands,3787
2020-10-18,East of England,5100
2020-10-18,London,7368
2020-10-18,North East,2886
2020-10-18,North West,8273
2020-10-18,South East,6331
2020-10-18,South West,2369
2020-10-18,West Midlands,5819
2020-10-18,Yorkshire and The Humber,4671
2020-10-19,East Midlands,3800
2020-10-19,East of England,5104
2020-10-19,London,7371
2020-10-19,North East,2894
2020-10-19,North West,8293
2020-10-19,South East,6334
2020-10-19,South West,2370
2020-10-19,West Midlands,5827
2020-10-19,Yorkshire and The Humber,4688
2020-10-20,East Midlands,3813
2020-10-20,East of England,5121
2020-10-20,London,7387
2020-10-20,North East,2941
2020-10-20,North West,8404
2020-10-20,South East,6353
2020-10-20,South West,2383
2020-10-20,West Midlands,5854
2020-10-20,Yorkshire and The Humber,4713
2020-10-21,East Midlands,3825
2020-10-21,East of England,5136
2020-10-21,London,7396
2020-10-21,North East,2963
2020-10-21,North West,8474
2020-10-21,South East,6361
2020-10-21,South West,2389
2020-10-21,West Midlands,5874
2020-10-21,Yorkshire and The Humber,4750
2020-10-22,East Midlands,3844
2020-10-22,East of England,5157
2020-10-22,London,7408
2020-10-22,North East,2979
2020-10-22,North West,8535
2020-10-22,South East,6369
2020-10-22,South West,2393
2020-10-22,West Midlands,5889
2020-10-22,Yorkshire and The Humber,4778
2020-10-23,East Midlands,3875
2020-10-23,East of England,5184
2020-10-23,London,7434
2020-10-23,North East,3000
2020-10-23,North West,8614
2020-10-23,South East,6393
